Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(185731884k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-04-01T07:18:49.425+0200: 339.206: [GC (Allocation Failure) [PSYoungGen: 5022121K->51689K(5273088K)] 5416716K->446996K(6944256K), 0.0228847 secs] [Times: user=0.77 sys=0.00, real=0.02 secs] 
2021-04-01T07:18:53.749+0200: 343.529: [GC (Allocation Failure) [PSYoungGen: 5273065K->51959K(5553664K)] 5668372K->448130K(7224832K), 0.0369307 secs] [Times: user=0.93 sys=0.01, real=0.04 secs] 
2021-04-01T07:18:59.986+0200: 349.767: [GC (Allocation Failure) [PSYoungGen: 5553399K->50880K(5327872K)] 5949570K->447059K(6999040K), 0.0210788 secs] [Times: user=0.54 sys=0.00, real=0.02 secs] 
2021-04-01T07:19:04.862+0200: 354.643: [GC (Allocation Failure) [PSYoungGen: 5327552K->52841K(5115904K)] 5723731K->449964K(6787072K), 0.0324561 secs] [Times: user=0.95 sys=0.00, real=0.03 secs] 
2021-04-01T07:19:08.137+0200: 357.918: [GC (Allocation Failure) [PSYoungGen: 5115497K->52722K(4911616K)] 5512620K->451805K(6582784K), 0.0267946 secs] [Times: user=0.96 sys=0.00, real=0.03 secs] 
2021-04-01T07:19:12.176+0200: 361.957: [GC (Allocation Failure) [PSYoungGen: 4911602K->56397K(5166080K)] 5310685K->456784K(6837248K), 0.0337236 secs] [Times: user=1.16 sys=0.00, real=0.03 secs] 
2021-04-01T07:19:16.937+0200: 366.718: [GC (Allocation Failure) [PSYoungGen: 5165645K->43511K(4946944K)] 5566032K->460026K(6618112K), 0.0329468 secs] [Times: user=1.08 sys=0.01, real=0.03 secs] 
2021-04-01T07:19:23.133+0200: 372.913: [GC (Allocation Failure) [PSYoungGen: 4946935K->49927K(4757504K)] 5363450K->467714K(6428672K), 0.0145439 secs] [Times: user=0.38 sys=0.00, real=0.01 secs] 
2021-04-01T07:19:26.715+0200: 376.496: [GC (Allocation Failure) [PSYoungGen: 4757255K->51237K(4572672K)] 5175042K->469024K(6243840K), 0.0140383 secs] [Times: user=0.33 sys=0.01, real=0.01 secs] 
2021-04-01T07:19:30.122+0200: 379.903: [GC (Allocation Failure) [PSYoungGen: 4572197K->51904K(4395520K)] 4989984K->472142K(6066688K), 0.0210685 secs] [Times: user=0.69 sys=0.00, real=0.02 secs] 
2021-04-01T07:19:34.347+0200: 384.128: [GC (Allocation Failure) [PSYoungGen: 4395200K->41970K(4216320K)] 4815438K->476048K(5887488K), 0.0184820 secs] [Times: user=0.52 sys=0.01, real=0.02 secs] 
2021-04-01T07:19:38.577+0200: 388.358: [GC (Allocation Failure) [PSYoungGen: 4216306K->39799K(4052992K)] 4650384K->479710K(5724160K), 0.0304235 secs] [Times: user=0.83 sys=0.00, real=0.03 secs] 
2021-04-01T07:19:44.708+0200: 394.488: [GC (Allocation Failure) [PSYoungGen: 4052855K->46416K(3906048K)] 4492766K->486328K(5577216K), 0.0194233 secs] [Times: user=0.46 sys=0.01, real=0.02 secs] 
2021-04-01T07:19:47.220+0200: 397.001: [GC (Allocation Failure) [PSYoungGen: 3905872K->44576K(3758080K)] 4345784K->486934K(5429248K), 0.0229154 secs] [Times: user=0.56 sys=0.01, real=0.02 secs] 
2021-04-01T07:19:50.070+0200: 399.851: [GC (Allocation Failure) [PSYoungGen: 3757600K->46624K(3620864K)] 4199958K->490743K(5292032K), 0.0253012 secs] [Times: user=0.70 sys=0.00, real=0.03 secs] 
2021-04-01T07:19:52.000+0200: 401.780: [GC (Allocation Failure) [PSYoungGen: 3620384K->42944K(3799040K)] 4064503K->488895K(5470208K), 0.0211286 secs] [Times: user=0.54 sys=0.01, real=0.03 secs] 
2021-04-01T07:19:55.616+0200: 405.397: [GC (Allocation Failure) [PSYoungGen: 3798976K->47175K(3662336K)] 4244927K->494983K(5333504K), 0.0146659 secs] [Times: user=0.36 sys=0.01, real=0.01 secs] 
2021-04-01T07:19:58.092+0200: 407.873: [GC (Allocation Failure) [PSYoungGen: 3661895K->53166K(3533312K)] 4109703K->503380K(5204480K), 0.0204016 secs] [Times: user=0.46 sys=0.02, real=0.02 secs] 
2021-04-01T07:20:01.812+0200: 411.593: [GC (Allocation Failure) [PSYoungGen: 3533230K->37863K(3389440K)] 3983444K->499622K(5060608K), 0.0172002 secs] [Times: user=0.55 sys=0.00, real=0.01 secs] 
2021-04-01T07:20:06.127+0200: 415.908: [GC (Allocation Failure) [PSYoungGen: 3389415K->43671K(3273216K)] 3851174K->508887K(4944384K), 0.0256832 secs] [Times: user=0.83 sys=0.00, real=0.03 secs] 
2021-04-01T07:20:08.181+0200: 417.961: [GC (Allocation Failure) [PSYoungGen: 3272855K->38231K(3150848K)] 3738071K->503447K(4822016K), 0.0109251 secs] [Times: user=0.30 sys=0.00, real=0.00 secs] 
2021-04-01T07:20:11.028+0200: 420.809: [GC (Allocation Failure) [PSYoungGen: 3150679K->48971K(3049984K)] 3615895K->516454K(4721152K), 0.0145440 secs] [Times: user=0.29 sys=0.01, real=0.02 secs] 
2021-04-01T07:20:13.786+0200: 423.567: [GC (Allocation Failure) [PSYoungGen: 3049803K->41771K(2936320K)] 3517286K->511555K(4607488K), 0.0341210 secs] [Times: user=1.01 sys=0.00, real=0.04 secs] 
2021-04-01T07:20:16.328+0200: 426.108: [GC (Allocation Failure) [PSYoungGen: 2936107K->41691K(2834944K)] 3405891K->513483K(4506112K), 0.0160886 secs] [Times: user=0.40 sys=0.03, real=0.02 secs] 
2021-04-01T07:20:18.628+0200: 428.409: [GC (Allocation Failure) [PSYoungGen: 2834651K->40450K(2737152K)] 3306443K->514067K(4408320K), 0.0149967 secs] [Times: user=0.39 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:20.839+0200: 430.620: [GC (Allocation Failure) [PSYoungGen: 2736642K->40082K(2881536K)] 3210259K->515907K(4552704K), 0.0275626 secs] [Times: user=0.75 sys=0.01, real=0.03 secs] 
2021-04-01T07:20:24.670+0200: 434.451: [GC (Allocation Failure) [PSYoungGen: 2881170K->41275K(2783744K)] 3356995K->519434K(4454912K), 0.0199284 secs] [Times: user=0.51 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:26.961+0200: 436.742: [GC (Allocation Failure) [PSYoungGen: 2783547K->39373K(2944000K)] 3261706K->520433K(4615168K), 0.0355071 secs] [Times: user=1.04 sys=0.00, real=0.03 secs] 
2021-04-01T07:20:31.350+0200: 441.131: [GC (Allocation Failure) [PSYoungGen: 2943949K->43053K(3104256K)] 3425009K->525817K(4775424K), 0.0201987 secs] [Times: user=0.60 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:33.120+0200: 442.901: [GC (Allocation Failure) [PSYoungGen: 3103789K->41956K(3286016K)] 3586553K->526440K(4957184K), 0.0250550 secs] [Times: user=0.67 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:35.753+0200: 445.534: [GC (Allocation Failure) [PSYoungGen: 3285988K->35837K(3464192K)] 3770472K->528177K(5135360K), 0.0174035 secs] [Times: user=0.46 sys=0.00, real=0.01 secs] 
2021-04-01T07:20:38.507+0200: 448.287: [GC (Allocation Failure) [PSYoungGen: 3464189K->36119K(3650560K)] 3956529K->532022K(5321728K), 0.0190927 secs] [Times: user=0.55 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:42.352+0200: 452.133: [GC (Allocation Failure) [PSYoungGen: 3650327K->40404K(3520000K)] 4146230K->536307K(5191168K), 0.0213209 secs] [Times: user=0.51 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:45.371+0200: 455.152: [GC (Allocation Failure) [PSYoungGen: 3519956K->41028K(3392512K)] 4015859K->539016K(5063680K), 0.0153454 secs] [Times: user=0.35 sys=0.00, real=0.02 secs] 
2021-04-01T07:20:48.444+0200: 458.225: [GC (Allocation Failure) [PSYoungGen: 3392068K->33252K(3261952K)] 3890056K->541136K(4933120K), 0.0209329 secs] [Times: user=0.54 sys=0.02, real=0.02 secs] 
2021-04-01T07:20:50.564+0200: 460.345: [GC (Allocation Failure) [PSYoungGen: 3261924K->33412K(3447296K)] 3769808K->543553K(5118464K), 0.0325449 secs] [Times: user=0.94 sys=0.00, real=0.03 secs] 
2021-04-01T07:20:54.130+0200: 463.911: [GC (Allocation Failure) [PSYoungGen: 3446916K->38352K(3636736K)] 3957057K->548493K(5307904K), 0.0222681 secs] [Times: user=0.59 sys=0.00, real=0.03 secs] 
2021-04-01T07:20:57.171+0200: 466.952: [GC (Allocation Failure) [PSYoungGen: 3636688K->37858K(3502080K)] 4146829K->549503K(5173248K), 0.0103154 secs] [Times: user=0.22 sys=0.01, real=0.02 secs] 
2021-04-01T07:21:01.917+0200: 471.698: [GC (Allocation Failure) [PSYoungGen: 3502050K->33769K(3369984K)] 4013695K->553751K(5041152K), 0.0141086 secs] [Times: user=0.41 sys=0.01, real=0.01 secs] 
2021-04-01T07:21:04.635+0200: 474.415: [GC (Allocation Failure) [PSYoungGen: 3369961K->35355K(3250176K)] 3889943K->559095K(4921344K), 0.0101083 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
2021-04-01T07:21:07.027+0200: 476.808: [GC (Allocation Failure) [PSYoungGen: 3249691K->35723K(3133952K)] 3773431K->559463K(4805120K), 0.0118207 secs] [Times: user=0.28 sys=0.00, real=0.01 secs] 
2021-04-01T07:21:09.822+0200: 479.603: [GC (Allocation Failure) [PSYoungGen: 3133835K->35979K(3023872K)] 3657575K->562304K(4695040K), 0.0256835 secs] [Times: user=0.65 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:12.397+0200: 482.178: [GC (GCLocker Initiated GC) [PSYoungGen: 3023499K->33772K(2915840K)] 3549839K->563739K(4587008K), 0.0128014 secs] [Times: user=0.34 sys=0.01, real=0.01 secs] 
2021-04-01T07:21:14.358+0200: 484.139: [GC (Allocation Failure) [PSYoungGen: 2915820K->35003K(3069952K)] 3445793K->568674K(4741120K), 0.0292625 secs] [Times: user=0.79 sys=0.00, real=0.03 secs] 
2021-04-01T07:21:17.784+0200: 487.565: [GC (Allocation Failure) [PSYoungGen: 3069627K->34793K(2961408K)] 3603298K->571316K(4632576K), 0.0171345 secs] [Times: user=0.47 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:21.048+0200: 490.829: [GC (Allocation Failure) [PSYoungGen: 2961385K->37906K(2862080K)] 3497908K->576751K(4533248K), 0.0214695 secs] [Times: user=0.56 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:22.881+0200: 492.661: [GC (Allocation Failure) [PSYoungGen: 2861586K->27625K(3011072K)] 3400431K->576095K(4682240K), 0.0253325 secs] [Times: user=0.68 sys=0.01, real=0.02 secs] 
2021-04-01T07:21:26.136+0200: 495.917: [GC (Allocation Failure) [PSYoungGen: 3011049K->31545K(2909696K)] 3559519K->583560K(4580864K), 0.0155768 secs] [Times: user=0.39 sys=0.00, real=0.01 secs] 
2021-04-01T07:21:28.123+0200: 497.904: [GC (Allocation Failure) [PSYoungGen: 2909497K->32354K(2809856K)] 3461512K->584369K(4481024K), 0.0115250 secs] [Times: user=0.25 sys=0.00, real=0.01 secs] 
2021-04-01T07:21:30.601+0200: 500.382: [GC (Allocation Failure) [PSYoungGen: 2806542K->32802K(2714112K)] 3358557K->586517K(4385280K), 0.0101398 secs] [Times: user=0.22 sys=0.02, real=0.00 secs] 
2021-04-01T07:21:33.417+0200: 503.198: [GC (Allocation Failure) [PSYoungGen: 2713634K->31723K(2620928K)] 3267349K->589806K(4292096K), 0.0114123 secs] [Times: user=0.30 sys=0.01, real=0.01 secs] 
2021-04-01T07:21:35.743+0200: 505.524: [GC (Allocation Failure) [PSYoungGen: 2620907K->32834K(2534912K)] 3178990K->593785K(4206080K), 0.0181469 secs] [Times: user=0.47 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:38.270+0200: 508.051: [GC (Allocation Failure) [PSYoungGen: 2534466K->30688K(2448384K)] 3095417K->594239K(4119552K), 0.0162617 secs] [Times: user=0.42 sys=0.01, real=0.02 secs] 
2021-04-01T07:21:41.873+0200: 511.654: [GC (Allocation Failure) [PSYoungGen: 2448352K->38994K(2377216K)] 3011903K->607361K(4048384K), 0.0231370 secs] [Times: user=0.68 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:43.540+0200: 513.321: [GC (Allocation Failure) [PSYoungGen: 2376786K->23522K(2285056K)] 2945153K->600538K(3956224K), 0.0219755 secs] [Times: user=0.64 sys=0.02, real=0.03 secs] 
2021-04-01T07:21:46.122+0200: 515.903: [GC (Allocation Failure) [PSYoungGen: 2285026K->25586K(2213888K)] 2862042K->605150K(3885056K), 0.0101801 secs] [Times: user=0.17 sys=0.01, real=0.01 secs] 
2021-04-01T07:21:47.715+0200: 517.496: [GC (Allocation Failure) [PSYoungGen: 2213874K->28809K(2363392K)] 2793438K->608373K(4034560K), 0.0382117 secs] [Times: user=1.08 sys=0.02, real=0.04 secs] 
2021-04-01T07:21:50.102+0200: 519.882: [GC (Allocation Failure) [PSYoungGen: 2363017K->30137K(2511872K)] 2942581K->611714K(4183040K), 0.0189231 secs] [Times: user=0.47 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:51.694+0200: 521.475: [GC (Allocation Failure) [PSYoungGen: 2511801K->29250K(2669568K)] 3093378K->613127K(4340736K), 0.0173410 secs] [Times: user=0.46 sys=0.00, real=0.01 secs] 
2021-04-01T07:21:53.570+0200: 523.351: [GC (Allocation Failure) [PSYoungGen: 2669122K->28173K(2835456K)] 3252999K->614067K(4506624K), 0.0194268 secs] [Times: user=0.38 sys=0.00, real=0.02 secs] 
2021-04-01T07:21:56.338+0200: 526.119: [GC (Allocation Failure) [PSYoungGen: 2834957K->31565K(3012608K)] 3420851K->619276K(4683776K), 0.0250727 secs] [Times: user=0.68 sys=0.00, real=0.03 secs] 
2021-04-01T07:21:58.979+0200: 528.760: [GC (Allocation Failure) [PSYoungGen: 3012429K->29236K(3182592K)] 3600140K->618658K(4853760K), 0.0167009 secs] [Times: user=0.38 sys=0.01, real=0.02 secs] 
2021-04-01T07:22:04.445+0200: 534.226: [GC (Allocation Failure) [PSYoungGen: 3182132K->28139K(3067904K)] 3771554K->626074K(4739072K), 0.0184671 secs] [Times: user=0.43 sys=0.01, real=0.02 secs] 
