Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649800k(192315768k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-02-22T00:10:16.522+0100: 615.154: [GC (Allocation Failure) [PSYoungGen: 2477124K->34605K(2392576K)] 2980557K->538930K(3904000K), 0.0151514 secs] [Times: user=0.42 sys=0.00, real=0.01 secs] 
2021-02-22T00:10:20.795+0100: 619.427: [GC (Allocation Failure) [PSYoungGen: 2392365K->28653K(2305536K)] 2896690K->541894K(3816960K), 0.0178251 secs] [Times: user=0.46 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:23.002+0100: 621.634: [GC (Allocation Failure) [PSYoungGen: 2305517K->29005K(2228736K)] 2818758K->544895K(3740160K), 0.0265836 secs] [Times: user=0.78 sys=0.02, real=0.02 secs] 
2021-02-22T00:10:27.048+0100: 625.680: [GC (Allocation Failure) [PSYoungGen: 2228557K->30856K(2157056K)] 2744447K->546746K(3668480K), 0.0235490 secs] [Times: user=0.61 sys=0.00, real=0.03 secs] 
2021-02-22T00:10:30.078+0100: 628.709: [GC (Allocation Failure) [PSYoungGen: 2156680K->31067K(2086400K)] 2672570K->548005K(3597824K), 0.0250518 secs] [Times: user=0.61 sys=0.02, real=0.03 secs] 
2021-02-22T00:10:33.335+0100: 631.967: [GC (Allocation Failure) [PSYoungGen: 2086235K->31565K(2019840K)] 2603173K->549007K(3531264K), 0.0307933 secs] [Times: user=0.84 sys=0.00, real=0.03 secs] 
2021-02-22T00:10:35.173+0100: 633.805: [GC (Allocation Failure) [PSYoungGen: 2019661K->32790K(1956864K)] 2537103K->550608K(3468288K), 0.0196822 secs] [Times: user=0.47 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:37.867+0100: 636.499: [GC (Allocation Failure) [PSYoungGen: 1956374K->28662K(1890816K)] 2474192K->551343K(3402240K), 0.0229720 secs] [Times: user=0.66 sys=0.00, real=0.03 secs] 
2021-02-22T00:10:40.396+0100: 639.028: [GC (Allocation Failure) [PSYoungGen: 1887596K->30446K(1833984K)] 2410277K->556255K(3345408K), 0.0153557 secs] [Times: user=0.42 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:43.082+0100: 641.714: [GC (Allocation Failure) [PSYoungGen: 1833710K->30198K(1777152K)] 2359519K->556656K(3288576K), 0.0170313 secs] [Times: user=0.42 sys=0.01, real=0.02 secs] 
2021-02-22T00:10:45.065+0100: 643.696: [GC (Allocation Failure) [PSYoungGen: 1777142K->29069K(1887232K)] 2303600K->558603K(3398656K), 0.0351403 secs] [Times: user=0.94 sys=0.00, real=0.04 secs] 
2021-02-22T00:10:47.273+0100: 645.904: [GC (Allocation Failure) [PSYoungGen: 1887117K->29174K(1828352K)] 2416651K->561237K(3339776K), 0.0133565 secs] [Times: user=0.35 sys=0.01, real=0.01 secs] 
2021-02-22T00:10:49.181+0100: 647.813: [GC (Allocation Failure) [PSYoungGen: 1828342K->29101K(1772032K)] 2360405K->563139K(3283456K), 0.0134761 secs] [Times: user=0.30 sys=0.01, real=0.01 secs] 
2021-02-22T00:10:52.146+0100: 650.778: [GC (Allocation Failure) [PSYoungGen: 1771949K->28150K(1717248K)] 2305987K->565180K(3228672K), 0.0154361 secs] [Times: user=0.37 sys=0.00, real=0.02 secs] 
2021-02-22T00:10:54.135+0100: 652.767: [GC (Allocation Failure) [PSYoungGen: 1717238K->26829K(1665024K)] 2254268K->567223K(3176448K), 0.0105570 secs] [Times: user=0.22 sys=0.00, real=0.01 secs] 
2021-02-22T00:10:57.998+0100: 656.629: [GC (Allocation Failure) [PSYoungGen: 1664717K->28973K(1617920K)] 2205111K->569367K(3129344K), 0.0280268 secs] [Times: user=0.78 sys=0.01, real=0.03 secs] 
2021-02-22T00:11:01.337+0100: 659.969: [GC (Allocation Failure) [PSYoungGen: 1617709K->30701K(1572352K)] 2158103K->573644K(3083776K), 0.0130205 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
2021-02-22T00:11:03.847+0100: 662.479: [GC (Allocation Failure) [PSYoungGen: 1572333K->23533K(1520128K)] 2115276K->573464K(3031552K), 0.0325494 secs] [Times: user=0.89 sys=0.00, real=0.04 secs] 
2021-02-22T00:11:06.601+0100: 665.233: [GC (Allocation Failure) [PSYoungGen: 1520109K->24064K(1477120K)] 2070040K->577494K(2988544K), 0.0077901 secs] [Times: user=0.13 sys=0.02, real=0.00 secs] 
2021-02-22T00:11:08.075+0100: 666.707: [GC (Allocation Failure) [PSYoungGen: 1477120K->24688K(1572352K)] 2030550K->578118K(3083776K), 0.0315510 secs] [Times: user=0.91 sys=0.00, real=0.03 secs] 
2021-02-22T00:11:09.492+0100: 668.124: [GC (Allocation Failure) [PSYoungGen: 1568224K->22839K(1665536K)] 2121654K->578145K(3176960K), 0.0106498 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
2021-02-22T00:11:11.272+0100: 669.904: [GC (Allocation Failure) [PSYoungGen: 1665335K->23716K(1616896K)] 2220641K->580247K(3128320K), 0.0093059 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
2021-02-22T00:11:14.153+0100: 672.784: [GC (Allocation Failure) [PSYoungGen: 1616548K->26070K(1571328K)] 2173079K->584374K(3082752K), 0.0113777 secs] [Times: user=0.28 sys=0.00, real=0.01 secs] 
2021-02-22T00:11:15.891+0100: 674.522: [GC (Allocation Failure) [PSYoungGen: 1571286K->24790K(1524736K)] 2129590K->584742K(3036160K), 0.0108541 secs] [Times: user=0.27 sys=0.00, real=0.01 secs] 
